Municipio,Tipo.de.delito,Anio_2015,Anio_2016,Anio_2017,Anio_2018,Anio_2019,Anio_2020,Anio,2015,2016,2017,2018,2019,2020
Totatiche,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Tototlán,Violación,0,0,0,2,0,0,2015,Nula,Baja,Nula,Baja,Nula,Nula
Tuxcacuesco,Violación,0,1,0,0,1,0,2015,Nula,Baja,Nula,Nula,Nula,Nula
Tuxcueca,Violación,0,1,0,1,0,0,2015,Nula,Baja,Nula,Nula,Nula,Nula
Tuxpan,Violación,0,1,0,2,0,0,2015,Nula,Baja,Nula,Baja,Nula,Nula
Unión de San Antonio,Violación,0,0,0,1,0,0,2015,Nula,Baja,Nula,Nula,Nula,Nula
Unión de Tula,Violación,0,0,1,1,0,0,2015,Nula,Baja,Nula,Nula,Nula,Nula
Valle de Guadalupe,Violación,1,0,0,0,0,0,2015,Baja,Nula,Nula,Nula,Nula,Nula
Valle de Juárez,Violación,0,1,1,0,0,0,2015,Nula,Baja,Nula,Nula,Nula,Nula
Villa Corona,Violación,0,0,0,0,1,0,2015,Nula,Baja,Nula,Nula,Nula,Nula
Villa Guerrero,Violación,0,1,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Villa Hidalgo,Violación,0,0,0,1,0,1,2015,Nula,Baja,Baja,Baja,Baja,Baja
Villa Purificación,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Yahualica de González Gallo,Violación,1,0,1,0,0,0,2015,Baja,Nula,Nula,Nula,Nula,Nula
Zacoalco de Torres,Violación,1,1,0,2,2,2,2015,Baja,Media,Media,Media,Media,Media
Zapopan,Violación,60,85,103,73,101,63,2015,Alta,Alta,Alta,Alta,Alta,Alta
Zapotiltic,Violación,0,1,0,1,0,1,2015,Nula,Baja,Baja,Media,Media,Baja
Zapotitlán de Vadillo,Violación,0,0,0,0,0,0,2015,Nula,Nula,Nula,Nula,Nula,Nula
Zapotlán del Rey,Violación,1,0,0,0,1,0,2015,Baja,Baja,Nula,Nula,Nula,Nula
Zapotlán el Grande,Violación,8,7,2,5,6,5,2015,Media,Media,Media,Media,Media,Media
Zapotlanejo,Violación,5,1,2,2,2,2,2015,Media,Media,Media,Media,Media,Media
